--- Data: modules ---
id: 1 | module_name: User Management | module_slug: users | status: active | created_at:  | updated_at:  | 
id: 32 | permission_key: users.edit | permission_name: Edit User Management | module_id: 1 | created_at: 2026-01-21 11:06:20 | updated_at: 2026-01-21 11:06:20 | 
id: 33 | permission_key: users.delete | permission_name: Delete User Management | module_id: 1 | created_at: 2026-01-21 11:06:20 | updated_at: 2026-01-21 11:06:20 | 
id: 34 | permission_key: employees.view | permission_name: View Employee Management | module_id: 2 | created_at: 2026-01-21 11:06:20 | updated_at: 2026-01-21 11:06:20 | 
id: 35 | permission_key: employees.create | permission_name: Create Employee Management | module_id: 2 | created_at: 2026-01-21 11:06:20 | updated_at: 2026-01-21 11:06:20 | 
id: 36 | permission_key: employees.edit | permission_name: Edit Employee Management | module_id: 2 | created_at: 2026-01-21 11:06:20 | updated_at: 2026-01-21 11:06:20 | 
id: 37 | permission_key: employees.delete | permission_name: Delete Employee Management | module_id: 2 | created_at: 2026-01-21 11:06:20 | updated_at: 2026-01-21 11:06:20 | 
id: 38 | permission_key: attendance.edit | permission_name: Edit Attendance Management | module_id: 3 | created_at: 2026-01-21 11:06:20 | updated_at: 2026-01-21 11:06:20 | 
id: 39 | permission_key: attendance.delete | permission_name: Delete Attendance Management | module_id: 3 | created_at: 2026-01-21 11:06:20 | updated_at: 2026-01-21 11:06:20 | 
id: 40 | permission_key: payroll.view | permission_name: View Payroll Management | module_id: 4 | created_at: 2026-01-21 11:06:20 | updated_at: 2026-01-21 11:06:20 | 
id: 41 | permission_key: payroll.create | permission_name: Create Payroll Management | module_id: 4 | created_at: 2026-01-21 11:06:20 | updated_at: 2026-01-21 11:06:20 | 
id: 42 | permission_key: payroll.edit | permission_name: Edit Payroll Management | module_id: 4 | created_at: 2026-01-21 11:06:20 | updated_at: 2026-01-21 11:06:20 | 
id: 43 | permission_key: payroll.delete | permission_name: Delete Payroll Management | module_id: 4 | created_at: 2026-01-21 11:06:20 | updated_at: 2026-01-21 11:06:20 | 
id: 44 | permission_key: settings.view | permission_name: View Settings | module_id: 12 | created_at: 2026-01-21 11:06:20 | updated_at: 2026-01-21 11:06:20 | 
id: 45 | permission_key: settings.create | permission_name: Create Settings | module_id: 12 | created_at: 2026-01-21 11:06:20 | updated_at: 2026-01-21 11:06:20 | 
id: 46 | permission_key: settings.edit | permission_name: Edit Settings | module_id: 12 | created_at: 2026-01-21 11:06:20 | updated_at: 2026-01-21 11:06:20 | 
